DAY,Price,Cash,Shares,PortfolioValue,Action
0,2183.90,9650.20,0,9650.20,HOLD
1,2149.95,9650.20,0,9650.20,HOLD
2,2204.49,9650.20,0,9650.20,HOLD
3,2258.09,9650.20,0,9650.20,HOLD
4,2172.33,9650.20,0,9650.20,HOLD
5,2154.88,9650.20,0,9650.20,HOLD
6,2214.77,9650.20,0,9650.20,HOLD
7,2191.20,9650.20,0,9650.20,HOLD
8,2059.13,9650.20,0,9650.20,HOLD
9,2005.81,9650.20,0,9650.20,HOLD
10,1898.27,9650.20,0,9650.20,HOLD
11,1591.12,9650.20,0,9650.20,HOLD
12,1645.28,9650.20,0,9650.20,HOLD
13,1685.37,9650.20,0,9650.20,HOLD
14,1801.80,9650.20,0,9650.20,HOLD
15,1828.13,9650.20,0,9650.20,HOLD
16,1895.98,9650.20,0,9650.20,HOLD
17,1894.29,9650.20,0,9650.20,HOLD
18,1905.17,9650.20,0,9650.20,HOLD
19,1968.59,9650.20,0,9650.20,HOLD
20,1997.94,9650.20,0,9650.20,HOLD
21,2059.14,9650.20,0,9650.20,HOLD
22,2166.01,9650.20,0,9650.20,HOLD
23,2079.02,9650.20,0,9650.20,HOLD
24,2110.51,9650.20,0,9650.20,HOLD
25,2108.26,9650.20,0,9650.20,HOLD
26,2164.03,9650.20,0,9650.20,HOLD
27,2165.60,9650.20,0,9650.20,HOLD
28,2214.28,9650.20,0,9650.20,HOLD
29,2237.21,9650.20,0,9650.20,HOLD
30,2269.69,9650.20,0,9650.20,HOLD
31,2396.11,9650.20,0,9650.20,HOLD
32,2353.17,9650.20,0,9650.20,HOLD
33,2336.98,9650.20,0,9650.20,HOLD
34,2341.29,9650.20,0,9650.20,HOLD
35,2369.12,9650.20,0,9650.20,HOLD
36,2429.94,9650.20,0,9650.20,HOLD
37,2287.44,9650.20,0,9650.20,HOLD
38,2327.83,9650.20,0,9650.20,HOLD
39,2385.87,9650.20,0,9650.20,HOLD
40,2322.06,9650.20,0,9650.20,HOLD
41,2321.23,9650.20,0,9650.20,HOLD
42,2315.30,9650.20,0,9650.20,HOLD
43,2435.59,9650.20,0,9650.20,HOLD
44,2533.34,9650.20,0,9650.20,HOLD
45,2605.03,9650.20,0,9650.20,HOLD
46,2611.67,9650.20,0,9650.20,HOLD
47,2700.92,9650.20,0,9650.20,HOLD
48,2735.08,9650.20,0,9650.20,HOLD
49,2733.64,9650.20,0,9650.20,HOLD
50,2809.35,9650.20,0,9650.20,HOLD
51,3040.11,9650.20,0,9650.20,HOLD
52,3085.90,9650.20,0,9650.20,HOLD
53,3140.60,9650.20,0,9650.20,HOLD
54,2962.70,9650.20,0,9650.20,HOLD
55,3081.78,9650.20,0,9650.20,HOLD
