DAY,Price,Cash,Shares,PortfolioValue,Action
0,591.38,5548.62,1,6140.00,BUY
1,485.14,5063.48,2,6033.76,BUY
2,488.98,4574.50,3,6041.44,BUY
3,551.30,4023.20,4,6228.40,BUY
4,599.30,3423.90,5,6420.40,BUY
5,603.15,2820.75,6,6439.65,BUY
6,637.33,2183.42,7,6644.73,BUY
7,635.16,1548.26,8,6629.54,BUY
8,673.66,874.60,9,6937.54,BUY
9,687.67,186.93,10,7063.63,BUY
10,718.81,186.93,10,7375.03,HOLD
11,735.06,186.93,10,7537.53,HOLD
12,746.56,186.93,10,7652.53,HOLD
13,714.14,186.93,10,7328.33,HOLD
14,744.26,186.93,10,7629.53,HOLD
15,731.76,186.93,10,7504.53,HOLD
16,755.44,186.93,10,7741.33,HOLD
17,775.29,186.93,10,7939.83,HOLD
18,785.75,186.93,10,8044.43,HOLD
19,802.04,186.93,10,8207.33,HOLD
20,830.55,186.93,10,8492.43,HOLD
21,858.00,186.93,10,8766.93,HOLD
22,805.52,186.93,10,8242.13,HOLD
23,827.27,186.93,10,8459.63,HOLD
24,858.23,186.93,10,8769.23,HOLD
25,864.17,186.93,10,8828.63,HOLD
26,891.99,186.93,10,9106.83,HOLD
27,821.89,186.93,10,8405.83,HOLD
28,843.06,186.93,10,8617.53,HOLD
29,865.95,186.93,10,8846.43,HOLD
30,803.24,186.93,10,8219.33,HOLD
31,766.96,186.93,10,7856.53,HOLD
32,810.01,186.93,10,8287.03,HOLD
33,835.27,186.93,10,8539.63,HOLD
34,836.00,186.93,10,8546.93,HOLD
35,868.89,186.93,10,8875.83,HOLD
36,883.24,186.93,10,9019.33,HOLD
37,906.31,186.93,10,9250.03,HOLD
38,921.27,186.93,10,9399.63,HOLD
39,928.51,186.93,10,9472.03,HOLD
40,955.38,186.93,10,9740.73,HOLD
41,978.12,186.93,10,9968.13,HOLD
42,963.09,186.93,10,9817.83,HOLD
43,975.05,186.93,10,9937.43,HOLD
44,918.68,186.93,10,9373.73,HOLD
45,961.26,186.93,10,9799.53,HOLD
46,974.30,186.93,10,9929.93,HOLD
47,934.35,186.93,10,9530.43,HOLD
48,920.07,186.93,10,9387.63,HOLD
49,890.07,186.93,10,9087.63,HOLD
50,935.11,186.93,10,9538.03,HOLD
51,939.19,186.93,10,9578.83,HOLD
52,954.17,186.93,10,9728.63,HOLD
53,968.35,186.93,10,9870.43,HOLD
54,1009.34,186.93,10,10280.33,HOLD
55,1019.59,186.93,10,10382.83,HOLD
56,995.96,186.93,10,10146.53,HOLD
57,961.16,186.93,10,9798.53,HOLD
58,948.04,186.93,10,9667.33,HOLD
59,965.55,186.93,10,9842.43,HOLD
60,973.76,186.93,10,9924.53,HOLD
61,983.02,186.93,10,10017.13,HOLD
62,989.15,186.93,10,10078.43,HOLD
63,1004.57,186.93,10,10232.63,HOLD
