DAY,Price,Cash,Shares,PortfolioValue,Action
0,604.51,6025.00,0,6025.00,HOLD
1,483.51,6025.00,0,6025.00,HOLD
2,454.24,6025.00,0,6025.00,HOLD
3,551.25,6025.00,0,6025.00,HOLD
4,593.22,6025.00,0,6025.00,HOLD
5,602.05,6025.00,0,6025.00,HOLD
6,616.88,6025.00,0,6025.00,HOLD
7,644.06,6025.00,0,6025.00,HOLD
8,676.60,6025.00,0,6025.00,HOLD
9,688.88,6025.00,0,6025.00,HOLD
10,708.60,6025.00,0,6025.00,HOLD
11,716.83,6025.00,0,6025.00,HOLD
12,747.37,6025.00,0,6025.00,HOLD
13,693.15,6025.00,0,6025.00,HOLD
14,741.78,6025.00,0,6025.00,HOLD
15,732.86,6025.00,0,6025.00,HOLD
16,750.43,6025.00,0,6025.00,HOLD
17,773.08,6025.00,0,6025.00,HOLD
18,776.97,6025.00,0,6025.00,HOLD
19,795.19,6025.00,0,6025.00,HOLD
20,815.15,6025.00,0,6025.00,HOLD
21,854.48,6025.00,0,6025.00,HOLD
22,794.91,6025.00,0,6025.00,HOLD
23,820.02,6025.00,0,6025.00,HOLD
24,847.53,6025.00,0,6025.00,HOLD
25,874.31,6025.00,0,6025.00,HOLD
26,893.24,6025.00,0,6025.00,HOLD
27,838.13,6025.00,0,6025.00,HOLD
28,839.68,6025.00,0,6025.00,HOLD
29,868.01,6025.00,0,6025.00,HOLD
30,821.50,6025.00,0,6025.00,HOLD
31,776.70,6025.00,0,6025.00,HOLD
32,789.85,6025.00,0,6025.00,HOLD
33,845.17,6025.00,0,6025.00,HOLD
34,841.60,6025.00,0,6025.00,HOLD
35,868.60,6025.00,0,6025.00,HOLD
36,885.65,6025.00,0,6025.00,HOLD
37,910.36,6025.00,0,6025.00,HOLD
38,924.52,6025.00,0,6025.00,HOLD
39,940.98,6025.00,0,6025.00,HOLD
40,928.58,6025.00,0,6025.00,HOLD
41,982.27,6025.00,0,6025.00,HOLD
42,973.63,6025.00,0,6025.00,HOLD
43,975.62,6025.00,0,6025.00,HOLD
44,957.17,6025.00,0,6025.00,HOLD
45,958.05,6025.00,0,6025.00,HOLD
46,965.83,6025.00,0,6025.00,HOLD
